"Muncitor calificat , treapta profesională I și muncitor calificat, treapta profesională II",http://posturi.gov.ro/anunt/muncitor-calificat-treapta-profesionala-i-si-muncitor-calificat-treapta-profesionala-ii/,"Primăria Orașului Bechet, județul Dolj","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Dolj,http://posturi.gov.ro/?judet=Dolj,Permanent
"Ospatar tr.IV, poz.24",http://posturi.gov.ro/anunt/ospatar-tr-iv-poz-24/,Universitatea Tehnică „Gheorghe Asachi” din Iași,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  20/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
INGRIJITOR,http://posturi.gov.ro/anunt/ingrijitor-353/,"Colegiul Tehnic  ""Costin D. Nenițescu"", Brăila, județul Brăila","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  20/09/2023,Brăila,http://posturi.gov.ro/?judet=Brăila,Permanent
Paznic,http://posturi.gov.ro/anunt/paznic-95/,"Şcoala Gimnazială „Mihai Eminescu” Piteşti, județul Argeș","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
MUNCITOR ÎNTREŢINERE,http://posturi.gov.ro/anunt/muncitor-intretinere-19/,"ŞCOALA GIMNAZIALĂ ,,GHEORGHE HARITON,,SĂHĂTENI","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  20/09/2023,Buzău,http://posturi.gov.ro/?judet=Buzău,Permanent
CONSILIER JURIDIC 1 LA COMPARTIMENTUL JURIDIC -1 POST,http://posturi.gov.ro/anunt/consilier-juridic-1-la-compartimentul-juridic-1-post/,SPITALUL MUNICIPAL SIGHISOARA,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Mureş,http://posturi.gov.ro/?judet=Mureş,Permanent
"5 posturi asistent medical generalist, 5 posturi brancardieri",http://posturi.gov.ro/anunt/5-posturi-asistent-medical-generalist-5-posturi-brancardieri/,Spitalul Clinic Judetean de Urgență Târgu Mureș,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Mureş,http://posturi.gov.ro/?judet=Mureş,Permanent
ȘEF RUNOS,http://posturi.gov.ro/anunt/sef-runos/,SPITALUL MUNICIPAL SIGHISOARA,"Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Mureş,http://posturi.gov.ro/?judet=Mureş,Permanent
referent  casier gradația I,http://posturi.gov.ro/anunt/referent-casier-gradatia-i/,"Primăria Comunei Căzănești, județul Mehedinți","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  27/09/2023,Mehedinţi,http://posturi.gov.ro/?judet=Mehedinţi,Permanent
sef sector formare,http://posturi.gov.ro/anunt/sef-sector-formare-2/,iNSTITUTUL ROMâN PENTRU DREPTURILE OMULUI,"Funcție contractuală, Instituții naționale, Funcții de conducere","Publicat în: 7 septembrie,2023",Expiră in  20/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
Muncitor necalificat,http://posturi.gov.ro/anunt/muncitor-necalificat-68/,Regia de Administrare a Domeniului Public şi Privat al judeţului Argeş ,"Alte functii, Instituții județene, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Temporar
Paznic,http://posturi.gov.ro/anunt/paznic-93/,Colegiul Economic ”Virgil madgearu” galați,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Galaţi,http://posturi.gov.ro/?judet=Galaţi,Permanent
"PILOT AERONAVA CLS.LLL, INGINER AVIATIE DEBUTANT",http://posturi.gov.ro/anunt/pilot-aeronava-cls-lll-inginer-aviatie-debutant/,Aeroclubul romaniei,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
ÎNGRIJITOR,http://posturi.gov.ro/anunt/ingrijitor-384/,"Școala Gimnazială „Nicolae Drăgan” Galda de Jos, județul Alba","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Alba,http://posturi.gov.ro/?judet=Alba,Permanent
îngrijitor 1 M,http://posturi.gov.ro/anunt/ingrijitor-1-m-7/,SCOALA GIMNAZIALA IONEL TEODOREANU IASI,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
Consilier I,http://posturi.gov.ro/anunt/consilier-i-10/,Institutul de Cercetări Eco-Muzeale „Gavrilă Simion” Tulcea,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 7 septembrie,2023",Expiră in  21/09/2023,Tulcea,http://posturi.gov.ro/?judet=Tulcea,Permanent
Medic specialist/primar-medicina interna,http://posturi.gov.ro/anunt/medic-specialist-primar-medicina-interna-2/,Administratia națională a penitenciarelor,"Funcție publică, Instituții naționale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
Ofiter de politie penitenicara-medic dentist cu drept de libera practica,http://posturi.gov.ro/anunt/ofiter-de-politie-penitenicara-medic-dentist-cu-drept-de-libera-practica/,Administratia națională a penitenciarelor,"Funcție publică, Instituții naționale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
Medic specialist/primar-medicină generala/medicină de familie,http://posturi.gov.ro/anunt/medic-specialist-primar-medicina-generala-medicina-de-familie-3/,Administratia națională a penitenciarelor,"Funcție publică, Instituții naționale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Arges,http://posturi.gov.ro/?judet=Arges,Permanent
INGRIJITOR,http://posturi.gov.ro/anunt/ingrijitor-388/,Școala Gimnazială Nr. 2 Pecica,"Funcție publică, Instituții naționale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Arad,http://posturi.gov.ro/?judet=Arad,Temporar
"referent de specialitate (IT), grad debutant",http://posturi.gov.ro/anunt/referent-de-specialitate-it-grad-debutant/,Muzeul județean buzău,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Buzău,http://posturi.gov.ro/?judet=Buzău,Permanent
șOFER MICROBUZ ȘCOLAR,http://posturi.gov.ro/anunt/sofer-microbuz-scolar-35/,COMUNA ȘPRING,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Alba,http://posturi.gov.ro/?judet=Alba,Permanent
ingrijitor copii,http://posturi.gov.ro/anunt/ingrijitor-copii-18/, Gradinita cu program prelungit nr.18 Sibiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
Expert  IA,http://posturi.gov.ro/anunt/expert-ia-directia-regionala-de-statistica-olt/,Direcția Regională de Statistică Olt,"Funcție contractuală, Instituții regionale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Olt,http://posturi.gov.ro/?judet=Olt,Temporar
Îngrijitor,http://posturi.gov.ro/anunt/ingrijitor-385/,Gradinita nr 268 - cresa Brandusa,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
fochist,http://posturi.gov.ro/anunt/fochist-12/,"Grădinița Cu Program Normal Stejărelul Cajvana,  județul Suceava ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  21/09/2023,Suceava,http://posturi.gov.ro/?judet=Suceava,Permanent
Educator muzeal,http://posturi.gov.ro/anunt/educator-muzeal-2/,Muzeul Judetean Buzău,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Buzău,http://posturi.gov.ro/?judet=Buzău,Permanent
"Ingrijitor, poz.5",http://posturi.gov.ro/anunt/ingrijitor-poz-5/,Universitatea tehnica „Gheorghe Asachi” din Iasi,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Iaşi,http://posturi.gov.ro/?judet=Iaşi,Permanent
ASISTENT MEDICAL COMUNITAR,http://posturi.gov.ro/anunt/asistent-medical-comunitar-44/,PRIMARIA COMUNEI CREVEDIA,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  26/09/2023,Dâmboviţa,http://posturi.gov.ro/?judet=Dâmboviţa,Permanent
CONSILIER,http://posturi.gov.ro/anunt/consilier-30/,COMPLEXUL NAȚIONAL MUZEUAL ASTRA,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
Bucatar,http://posturi.gov.ro/anunt/bucatar-38/,Direcția de Asistență socială a municipiului giurgiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Giurgiu,http://posturi.gov.ro/?judet=Giurgiu,Permanent
paznic,http://posturi.gov.ro/anunt/paznic-92/,"COLEGIUL NAŢIONAL ""NICOLAE IORGA""BRAILA","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Brăila,http://posturi.gov.ro/?judet=Brăila,Permanent
îngrijitor și fochist,http://posturi.gov.ro/anunt/ingrijitor-si-fochist/,"Colegiul Național „Carol I”, Craiova, județul Dolj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Dolj,http://posturi.gov.ro/?judet=Dolj,Permanent
manager,http://posturi.gov.ro/anunt/manager-6/,SPITALUL MUNICIPAL SEBES,"Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 6 septembrie,2023",Expiră in  9/10/2023,Alba,http://posturi.gov.ro/?judet=Alba,Temporar
muncitor,http://posturi.gov.ro/anunt/muncitor-54/,"Liceul Tehnologic „Sövér Elek”, Joseni, județul Harghita","Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Harghita,http://posturi.gov.ro/?judet=Harghita,Permanent
"Consilier II, comunicare la Compartimentul proiecte culturale",http://posturi.gov.ro/anunt/consilier-ii-comunicare-la-compartimentul-proiecte-culturale/,Centru de arta contemporana colonia pictorilor baia mare,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Maramureş,http://posturi.gov.ro/?judet=Maramureş,Permanent
"administrator financiar șef, post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/administrator-financiar-sef-post-vacant-pe-perioada-nedeterminata-7/,"Liceul Tehnologic General Magheru,   Râmnicu Vâlcea, județul Vâlcea","Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Vâlcea,http://posturi.gov.ro/?judet=Vâlcea,Permanent
Sef Serviciul Voluntar pentru Situaţii de Urgenţă,http://posturi.gov.ro/anunt/sef-serviciul-voluntar-pentru-situatii-de-urgenta-4/,"PRIMĂRIA COMUNA ŞAG, JUDEŢ TIMIŞ","Funcție contractuală, Primării, Funcții de conducere","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Timiş,http://posturi.gov.ro/?judet=Timiş,Permanent
"MUNCITOR NECALIFICAT CANTINĂ (2 posturi), ÎNGRIJITOR CURĂȚENIE , MUNCITOR CALIFICAT INSTALATOR",http://posturi.gov.ro/anunt/muncitor-necalificat-cantina-2-posturi-ingrijitor-curatenie-muncitor-calificat-instalator/,"Colegiul Național,,Ecaterina Teodoroiu” Tg Jiu","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  26/09/2023,Gorj,http://posturi.gov.ro/?judet=Gorj,Permanent
"muncitor calificat, paznic",http://posturi.gov.ro/anunt/muncitor-calificat-paznic/,"Școala Gimnazială „Ion Creangă” Brăila,  județul Brăila","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Brăila,http://posturi.gov.ro/?judet=Brăila,Permanent
"inginer specialist  IA, magaziner, muncitor calificat II și referent de specialitate I",http://posturi.gov.ro/anunt/inginer-specialist-ia-magaziner-muncitor-calificat-ii-si-referent-de-specialitate-i/,"Biblioteca Județeană Timiș „Sorin Titel”, Timișoara, Județul Timiș","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Timiş,http://posturi.gov.ro/?judet=Timiş,Permanent
"Muncitor calificat (sudor) M, G I",http://posturi.gov.ro/anunt/muncitor-calificat-sudor-m-g-i-serviciul-public-local-de-termoficare-brasov/,Serviciul Public Local de Termoficare Braşov ,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Braşov,http://posturi.gov.ro/?judet=Braşov,Permanent
Consilier juridic,http://posturi.gov.ro/anunt/consilier-juridic-21/,"Spitalul Municipal Dr. Gheorghe Marinescu, Târnăveni, judeţul Mureș","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Mureş,http://posturi.gov.ro/?judet=Mureş,Permanent
"Magaziner, Șofer I",http://posturi.gov.ro/anunt/magaziner-sofer-i/,"Serviciul Public Direcția Poliția Locala Slatina, județul Olt","Funcție contractuală, Primării, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Olt,http://posturi.gov.ro/?judet=Olt,Permanent
"muncitor necalificat- ingrijitor copii post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/muncitor-necalificat-ingrijitor-copii-post-vacant-pe-perioada-nedeterminata/," Grădința nr.1,  Măgurele,  județul Ilfov, ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Ilfov,http://posturi.gov.ro/?judet=Ilfov,Permanent
"bibliotecar, post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/bibliotecar-post-vacant-pe-perioada-nedeterminata-2/," Comuna Muereasca,  județul Vâlcea","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Vâlcea,http://posturi.gov.ro/?judet=Vâlcea,Permanent
Bucatar gradinita,http://posturi.gov.ro/anunt/bucatar-gradinita/,GRADINITA NR.272,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  21/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
îngrijitoare,http://posturi.gov.ro/anunt/ingrijitoare-87/,gRADINITA nR. 53,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Bucureşti,http://posturi.gov.ro/?judet=Bucureşti,Permanent
"consilier, grad profesional LL",http://posturi.gov.ro/anunt/consilier-grad-profesional-ll/,consiliul Județean Botoșani,"Funcție contractuală, Consilii județene, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Botoşani,http://posturi.gov.ro/?judet=Botoşani,Temporar
ASISTENT MEDICAL COMUNITAR,http://posturi.gov.ro/anunt/asistent-medical-comunitar-46/,PRIMARIA COMUNEI CREVEDIA,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  26/09/2023,Dâmboviţa,http://posturi.gov.ro/?judet=Dâmboviţa,Permanent
"ingrijitor – 1 post, perioada determinata, •",http://posturi.gov.ro/anunt/ingrijitor-1-post-perioada-determinata/,Liceul Teoretic Lucian Blaga,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  19/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Temporar
"Secretar, Paznic",http://posturi.gov.ro/anunt/secretar-paznic/,Colegiul Economic „Francesco Saverio Nitti”,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Timiş,http://posturi.gov.ro/?judet=Timiş,Permanent
"îngrijitor, îngrijitor, supraveghetor noapte  femeie",http://posturi.gov.ro/anunt/ingrijitor-ingrijitor-supraveghetor-noapte-femeie/,"Liceul Special pentru Deficienți de Vedere Cluj, Cluj-Napoca, județul Cluj","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Cluj,http://posturi.gov.ro/?judet=Cluj,Permanent
"îngrijitoare, post vacant, contractual, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/ingrijitoare-post-vacant-contractual-pe-perioada-nedeterminata/," Școala Gimnazială Vurpăr, comuna Vurpăr,  județul Sibiu ","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Sibiu,http://posturi.gov.ro/?judet=Sibiu,Permanent
"asistent medical principal, post vacant, îngrijitor, post vacant, pe perioadă nedeterminată",http://posturi.gov.ro/anunt/asistent-medical-principal-post-vacant-ingrijitor-post-vacant-pe-perioada-nedeterminata/,"Centrul Şcolar Pentru Educaţie Incluzivă Paul Popescu Neveanu,  Timişoara,  județul Timiş","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 6 septembrie,2023",Expiră in  20/09/2023,Timiş,http://posturi.gov.ro/?judet=Timiş,Permanent
